Issue Type,Summary,Description,Status,Priority,Story Points,Components,Labels,Epic Name,Epic Link
Epic,M1 Authentication & Identity,"Phone-OTP registration for workers and employers (no Aadhaar). Three login methods post-registration: phone+OTP, email+password, Google OAuth. Admin login is email+password only. See docs/managerial/04-prd-v1.md M1.",To Do,Highest,,M1,module-M1,M1 Authentication & Identity,
Epic,M2 Profile Management,"Edit seeker / employer profile data after registration — photo, experience, skills, documents, company details. See docs/managerial/04-prd-v1.md M2.",To Do,High,,M2,module-M2,M2 Profile Management,
Epic,M3 Job Posting,"Employer creates/updates/activates/deactivates/expires job posts with rich fields. See docs/managerial/04-prd-v1.md M3.",To Do,High,,M3,module-M3,M3 Job Posting,
Epic,M4 Job Discovery,"Two seeker-facing feeds — Recommended (profile-weighted) and Near By (GPS distance). Search + filter. See docs/managerial/04-prd-v1.md M4.",To Do,Highest,,M4,module-M4,M4 Job Discovery,
Epic,M5 Job Application,"Seeker applies with optional 2-min audio + optional text. See docs/managerial/04-prd-v1.md M5.",To Do,Highest,,M5,module-M5,M5 Job Application,
Epic,M6 Candidate Management,"Employer reviews applicants with tabs (All/Accepted/Shortlisted/Rejected/Bookmarked) + accept/reject/bookmark actions. See docs/managerial/04-prd-v1.md M6.",To Do,Highest,,M6,module-M6,M6 Candidate Management,
Epic,M7 Interview Scheduling,"Accept-with-modal flow + WhatsApp/SMS confirmation + 24h/2h reminders + day-after outcome capture. See docs/managerial/04-prd-v1.md M7.",To Do,High,,M7,module-M7,M7 Interview Scheduling,
Epic,M8 Chat / Messaging,"Seeker↔employer text + 60s audio, polling delivery (~10s). See docs/managerial/04-prd-v1.md M8.",To Do,Highest,,M8,module-M8,M8 Chat / Messaging,
Epic,M9 Notifications,"Five-channel matrix: in-app + FCM + WhatsApp + SMS + Email. See docs/managerial/04-prd-v1.md M9.",To Do,Highest,,M9,module-M9,M9 Notifications,
Epic,M10 Subscription & Payments,"Razorpay employer subscriptions per PROVISIONAL Option B (worker free, employer ₹999/mo, 14-day trial, manual renewal). See docs/managerial/04-prd-v1.md M10.",To Do,Highest,,M10,module-M10,M10 Subscription & Payments,
Epic,M11 Admin Verification,"Admin queues for Corporate-employer approval + document review + payment-status override. See docs/managerial/04-prd-v1.md M11.",To Do,High,,M11,module-M11,M11 Admin Verification,
Epic,M12 Admin Content Moderation,"OpenAI omni-moderation + India scam regex + Send Warning + Delete. See docs/managerial/04-prd-v1.md M12.",To Do,High,,M12,module-M12,M12 Admin Content Moderation,
Epic,M13 Soft Delete,"Admin sets isDeleted=true; auth middleware rejects deleted users; jobs disappear from feeds. See docs/managerial/04-prd-v1.md M13.",To Do,Medium,,M13,module-M13,M13 Soft Delete,
Epic,M14 i18n (10 languages),"Translate UI into EN/HI/TA/KN/ML/MR/GU/OR/TE/BN. EN+HI hard-gated to 100% by code freeze. See docs/managerial/04-prd-v1.md M14.",To Do,High,,M14,module-M14,M14 i18n,
Epic,M15 Cross-Cutting,"FE port/path/auth reconciliation + security gaps + decision-tag convention + CI + staging + perf gate. See docs/managerial/04-prd-v1.md M15.",To Do,Highest,,M15,module-M15,M15 Cross-Cutting,
Story,S1-01 Delete Aadhaar code paths,"Delete AadhaarVerification model, validator, send/verify endpoints, aadhaarNumber on User, route registrations. RTM: M1-AC10, M15-AC4 #9. Verified by Asrar 2026-05-11 — 9/9 tests pass.",Done,Highest,1,M1,"sprint-1,owner-asrar,role-be,risk-medium",,M1 Authentication & Identity
Story,S1-02 Initiate MSG91 SMS DLT registration,"Initiate MSG91 SMS DLT registration paperwork (account, header/template approval). 2-3 week lead time. R11 critical-path. RTM: M9-AC8.",To Do,Highest,1,M9,"sprint-1,owner-nazir,role-procurement,risk-high",,M9 Notifications
Story,S1-03 Initiate Razorpay merchant KYC + procure sandbox keys,"Initiate Razorpay merchant KYC + procure sandbox keys. KYC ~1-2 weeks. Sandbox keys usable from day 1. RTM: M10-AC4.",To Do,Highest,1,M10,"sprint-1,owner-nazir,role-procurement,risk-medium",,M10 Subscription & Payments
Story,S1-04 Register Google OAuth client,"Cloud Console project + OAuth consent screen + web/mobile client IDs. Needed before BE Google OAuth code lands. RTM: M1-AC5, M1-AC15.",To Do,Highest,1,M1,"sprint-1,owner-nazir,role-procurement,risk-low",,M1 Authentication & Identity
Story,S1-05 apps/mobile workspace skeleton,"Expo init, TypeScript, RTK Query setup, NativeBase shell, basic stack nav. Scaffolding precondition for every mobile story.",To Do,High,1,M15,"sprint-1,owner-dheeraj,role-mobile,risk-low",,M15 Cross-Cutting
Story,S1-06 apps/admin workspace skeleton,"Next.js + Tailwind + lucide; lift admin pages from apps/web/src/app/admin/* per D4. Scaffolding precondition for admin stories in S2.",To Do,High,1,M15,"sprint-1,owner-nazir,role-fe,risk-low",,M15 Cross-Cutting
Story,S1-07 Replace Math.random() in OTP generation,"Replace Math.floor(100000 + Math.random() * 900000) with crypto.randomInt() in utils/crypto.ts. Verified by Asrar 2026-05-12.",Done,High,1,M1,"sprint-1,owner-asrar,role-be,risk-low",,M1 Authentication & Identity
Story,S1-08 Assert JWT_SECRET env at boot (fail-fast),"Replace 'your-secret-key' default with fail-fast assertion in utils/jwt.ts. Now throws if env missing or shorter than 32 chars. Verified by Asrar 2026-05-12.",Done,Highest,1,M1,"sprint-1,owner-asrar,role-be,risk-low",,M1 Authentication & Identity
Story,S1-09 Add BOOKMARKED to updateApplicationStatusSchema enum,"Added 'BOOKMARKED' to Zod enum in validators/application.validator.ts. Verified by Asrar 2026-05-12. RTM: M6-AC6, M15-AC4 #7.",Done,High,1,M6,"sprint-1,owner-asrar,role-be,risk-low",,M6 Candidate Management
Story,S1-10 Re-enable 'Cannot reject accepted' guard,"Re-enabled the guard in services/application.service.ts:1070-1073. Throws on reject when status=ACCEPTED. Verified by Asrar 2026-05-12.",Done,High,1,M6,"sprint-1,owner-asrar,role-be,risk-low",,M6 Candidate Management
Story,S1-11 Branch hygiene — merge or document asrar-dev,"prabhazkashine/asrar-dev rebased on top of main, fully merged via PR #4. Aadhaar deletion + audit fixes coming as focused PR.",Done,High,1,M15,"sprint-1,owner-asrar,role-be,risk-medium",,M15 Cross-Cutting
Story,S1-12 BE — rework registration to phone-first for both roles,"Seeker: Language → Phone → OTP → Profile (incl email) → Categories → Experience → Password. Employer: Phone → OTP → Password → Email Verify → Company Details. Two-step employer doc upload locked 2026-05-13. RTM: M1-AC1, M1-AC2, M1-AC3, M1-AC4.",To Do,Highest,5,M1,"sprint-1,owner-asrar,role-be,risk-high",,M1 Authentication & Identity
Story,S1-13 BE — Email+password + Google OAuth login,"Review/finish existing email+pwd login. Google OAuth via google-auth-library (not Passport — locked 2026-05-12). googleSub on User. Pattern: POST /api/auth/google/login {idToken, role}. RTM: M1-AC5, M1-AC15.",To Do,Highest,2,M1,"sprint-1,owner-asrar,role-be,risk-medium",,M1 Authentication & Identity
Story,S1-14 BE — misc auth hardening,"Admin-create gate, forgot-password generic 200, password policy validator (≥8 / ≥1 upper / ≥1 lower / ≥1 digit). Quick wins; bundle into one PR. RTM: M1-AC12, M1-AC13, M1-AC14.",To Do,High,1,M1,"sprint-1,owner-asrar,role-be,risk-low",,M1 Authentication & Identity
Story,S1-15 BE — subscription schema,"Subscription / SubscriptionPlan / PaymentHistory / WebhookEvent tables. subscriptionTier / subscriptionExpiresAt / lastPaymentAt on User. Seed values: Worker FREE / Employer ₹999/mo Pro / 14-day TRIAL. RTM: M10-AC10, M10-AC11, M10-AC12.",To Do,Highest,2,M10,"sprint-1,owner-asrar,role-be,risk-medium",,M10 Subscription & Payments
